ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
occi1249-nclass-138,occi1249,nclass,0,nclass-0,,
occi1249-nnumber-138,occi1249,nnumber,0,nnumber-0,,
occi1249-int-138,occi1249,int,yes,int-yes,,
occi1249-origin-138,occi1249,origin,KW,origin-kw,,
occi1249-comp-138,occi1249,comp,yes,comp-yes,,
occi1249-genre-138,occi1249,genre,spoken,genre-spoken,,
stan1288-ncases-139,stan1288,ncases,0,ncases-0,,
stan1288-nclass-139,stan1288,nclass,2,nclass-2,,
stan1288-nnumber-139,stan1288,nnumber,0,nnumber-0,,
stan1288-int-139,stan1288,int,yes,int-yes,,
stan1288-origin-139,stan1288,origin,KW,origin-kw,,
stan1288-comp-139,stan1288,comp,yes,comp-yes,,
stan1288-genre-139,stan1288,genre,spoken,genre-spoken,,
stan1288-ncases-140,stan1288,ncases,0,ncases-0,,
stan1288-nclass-140,stan1288,nclass,2,nclass-2,,
stan1288-nnumber-140,stan1288,nnumber,2,nnumber-2,,
stan1288-int-140,stan1288,int,related,int-related,,
stan1288-origin-140,stan1288,origin,KW,origin-kw,,
stan1288-comp-140,stan1288,comp,no,comp-no,,
stan1288-genre-140,stan1288,genre,written,genre-written,,
port1283-ncases-141,port1283,ncases,2,ncases-2,,
port1283-nclass-141,port1283,nclass,0,nclass-0,,
port1283-nnumber-141,port1283,nnumber,0,nnumber-0,,
port1283-int-141,port1283,int,yes,int-yes,,
port1283-origin-141,port1283,origin,KW,origin-kw,,
port1283-comp-141,port1283,comp,yes,comp-yes,,
port1283-genre-141,port1283,genre,spoken,genre-spoken,,
port1283-ncases-142,port1283,ncases,0,ncases-0,,
port1283-nclass-142,port1283,nclass,2,nclass-2,,
port1283-nnumber-142,port1283,nnumber,2,nnumber-2,,
port1283-int-142,port1283,int,related,int-related,,
port1283-origin-142,port1283,origin,KW,origin-kw,,
port1283-comp-142,port1283,comp,no,comp-no,,
port1283-genre-142,port1283,genre,both,genre-both,,
roma1327-ncases-143,roma1327,ncases,2,ncases-2,,
roma1327-nclass-143,roma1327,nclass,2,nclass-2,,
roma1327-nnumber-143,roma1327,nnumber,2,nnumber-2,,
roma1327-int-143,roma1327,int,yes,int-yes,,
roma1327-origin-143,roma1327,origin,KW,origin-kw,,
roma1327-comp-143,roma1327,comp,no,comp-no,,
roma1327-genre-143,roma1327,genre,both,genre-both,,
roma1327-ncases-144,roma1327,ncases,0,ncases-0,,
roma1327-nclass-144,roma1327,nclass,0,nclass-0,,
roma1327-nnumber-144,roma1327,nnumber,0,nnumber-0,,
roma1327-int-144,roma1327,int,no,int-no,,
roma1327-origin-144,roma1327,origin,NA,origin-na,,
roma1327-comp-144,roma1327,comp,no,comp-no,,
roma1327-genre-144,roma1327,genre,spoken,genre-spoken,,
camp1261-ncases-145,camp1261,ncases,0,ncases-0,,
camp1261-nclass-145,camp1261,nclass,0,nclass-0,,
camp1261-nnumber-145,camp1261,nnumber,0,nnumber-0,,
camp1261-int-145,camp1261,int,yes,int-yes,,
camp1261-origin-145,camp1261,origin,KW,origin-kw,,
camp1261-comp-145,camp1261,comp,yes,comp-yes,,
camp1261-genre-145,camp1261,genre,spoken,genre-spoken,,
tokh1242-ncases-146,tokh1242,ncases,3,ncases-3,,
tokh1242-nclass-146,tokh1242,nclass,0,nclass-0,,
tokh1242-nnumber-146,tokh1242,nnumber,2,nnumber-2,,
tokh1242-int-146,tokh1242,int,yes,int-yes,,
tokh1242-origin-146,tokh1242,origin,KW+TO,origin-kwto,,
tokh1242-comp-146,tokh1242,comp,no,comp-no,,
tokh1242-genre-146,tokh1242,genre,written,genre-written,,
tokh1242-ncases-147,tokh1242,ncases,3,ncases-3,,
tokh1242-nclass-147,tokh1242,nclass,3,nclass-3,,
tokh1242-nnumber-147,tokh1242,nnumber,2,nnumber-2,,
tokh1242-int-147,tokh1242,int,yes,int-yes,,
tokh1242-origin-147,tokh1242,origin,NA,origin-na,,
tokh1242-comp-147,tokh1242,comp,no,comp-no,,
tokh1242-genre-147,tokh1242,genre,written,genre-written,,
tokh1243-ncases-148,tokh1243,ncases,3,ncases-3,,
tokh1243-nclass-148,tokh1243,nclass,0,nclass-0,,
tokh1243-nnumber-148,tokh1243,nnumber,0,nnumber-0,,
tokh1243-int-148,tokh1243,int,yes,int-yes,,
tokh1243-origin-148,tokh1243,origin,KW+TO,origin-kwto,,
tokh1243-comp-148,tokh1243,comp,no,comp-no,,
tokh1243-genre-148,tokh1243,genre,written,genre-written,,
tokh1243-ncases-149,tokh1243,ncases,3,ncases-3,,
tokh1243-nclass-149,tokh1243,nclass,3,nclass-3,,
tokh1243-nnumber-149,tokh1243,nnumber,2,nnumber-2,,
tokh1243-int-149,tokh1243,int,yes,int-yes,,
tokh1243-origin-149,tokh1243,origin,NA,origin-na,,
tokh1243-comp-149,tokh1243,comp,no,comp-no,,
tokh1243-genre-149,tokh1243,genre,written,genre-written,,
tokh1243-ncases-150,tokh1243,ncases,3,ncases-3,,
tokh1243-nclass-150,tokh1243,nclass,3,nclass-3,,
tokh1243-nnumber-150,tokh1243,nnumber,2,nnumber-2,,
tokh1243-int-150,tokh1243,int,yes,int-yes,,
tokh1243-origin-150,tokh1243,origin,NA,origin-na,,
tokh1243-comp-150,tokh1243,comp,no,comp-no,,
tokh1243-genre-150,tokh1243,genre,written,genre-written,,
